testid,field,type,responsecode,responsestatus
ORG034,name,invalid,400,error
ORG035,name,empty,400,error
ORG036,name,null,400,error
ORG037,description,invalid,400,error
ORG038,description,empty,400,error
ORG039,description,null,400,error
ORG040,code,invalid,400,error
ORG041,code,empty,400,error
ORG042,code,null,400,error
ORG043,phone,invalid,400,error
ORG044,phone,empty,400,error
ORG045,phone,null,400,error
ORG046,email,invalid,400,error
ORG047,email,empty,400,error
ORG048,email,null,400,error
ORG049,active,invalid,400,error
ORG050,active,empty,400,error
ORG051,active,null,400,error
