testid,type,field,responsecode,responsestatus
A017,invalid,name,400,error
A018,empty,name,400,error
A019,null,name,400,error
A020,invalid,description,400,error
A021,empty,description,400,error
A022,null,description,400,error
A023,invalid,line1,400,error
A024,empty,line1,400,error
A025,null,line1,400,error
A026,invalid,line2,400,error
A027,empty,line2,400,error
A028,null,line2,400,error
A029,invalid,line3,400,error
A030,empty,line3,400,error
A031,null,line3,400,error
A032,invalid,line4,400,error
A033,empty,line4,400,error
A034,null,line4,400,error
A035,invalid,line5,400,error
A036,empty,line5,400,error
A037,null,line5,400,error
A038,invalid,line6,400,error
A039,empty,line6,400,error
A040,null,line6,400,error
A041,invalid,city,400,error
A042,empty,city,400,error
A043,null,city,400,error
A044,invalid,country,400,error
A045,empty,country,400,error
A046,null,country,400,error
A047,invalid,countryISOCode,400,error
A048,empty,countryISOCode,400,error
A049,null,countryISOCode,400,error
A050,invalid,postalCode,400,error
A051,empty,postalCode,400,error
A052,null,postalCode,400,error
A053,invalid,province,400,error
A054,empty,province,400,error
A055,null,province,400,error
A056,invalid,state,400,error
A057,empty,state,400,error
A058,null,state,400,error
