testid,parameter,valuetype,length,responsecode,responsestatus
C1586,environmentname,valid,50,200,success
C1587,environmentname,empty,empty,400,error
C1588,environmentname,null,null,400,error
C1589,environmentname,alphabets,50,200,success
C1590,environmentname,numeric,50,400,error
C1591,environmentname,boolean,boolean,400,error
C1592,environmentname,alphanumeric,51,400,error
C1593,environmentname,alphanumeric,49,400,error
C1594,environmentname,existing,existing,400,error
C1595,environmentname,special char,50,400,error
