testid,field,value,responsecode,responsestatus
ORG058,name,invalid,400,error
ORG059,name,empty,400,error
ORG060,name,null,400,error
ORG061,description,invalid,400,error
ORG062,description,empty,400,error
ORG063,description,null,400,error
ORG064,code,invalid,400,error
ORG065,code,empty,400,error
ORG066,code,null,400,error
ORG067,phone,invalid,400,error
ORG068,phone,empty,400,error
ORG069,phone,null,400,error
ORG070,email,invalid,400,error
ORG071,email,empty,400,error
ORG072,email,null,400,error
ORG073,active,invalid,400,error
ORG074,active,empty,400,error
ORG075,active,null,400,error
