testid,parameter,valuetype,length,responsecode,responsestatus
C066,buttoncolor,alphabets,255,201,success
C067,buttoncolor,numeric,255,201,success
C069,buttoncolor,alphanumeric,256,201,success
C070,buttoncolor,alphanumeric,255,201,success
C073,configkey,uuid,255,201,success
C076,configkey,alphabets,255,201,success
C077,configkey,numeric,255,201,success
C079,configkey,alphanumeric,256,201,success
C080,configkey,alphanumeric,255,201,success
C083,configvalue,uuid,255,201,success
C086,configvalue,alphabets,255,201,success
C087,configvalue,numeric,255,201,success
C089,configvalue,alphanumeric,256,201,success
C090,configvalue,alphanumeric,255,201,success
C093,configtype,uuid,255,201,success
C096,configtype,alphabets,255,201,success
C097,configtype,numeric,255,201,success
C099,configtype,alphanumeric,256,201,success
C100,configtype,alphanumeric,255,201,success
