testid,attributeType,valuetype,responsecode
CQ050,string,boolean,400
CQ051,string,numeric,400
CQ052,string,date,400
CQ053,string,timestamp,400
CQ054,string,list,400
CQ055,boolean,string,400
CQ056,boolean,numeric,400
CQ057,boolean,date,400
CQ058,boolean,timestamp,400
CQ059,boolean,list,400
CQ060,numeric,string,400
CQ061,numeric,boolean,400
CQ062,numeric,date,400
CQ063,numeric,timestamp,400
CQ064,numeric,list,400
CQ065,date,string,400
CQ066,date,boolean,400
CQ067,date,numeric,400
CQ068,date,timestamp,400
CQ069,date,list,400
CQ070,timestamp,string,400
CQ071,timestamp,boolean,400
CQ072,timestamp,numeric,400
CQ073,timestamp,date,400
CQ074,timestamp,list,400
CQ075,list,string,400
CQ076,list,boolean,400
CQ077,list,numeric,400
CQ078,list,date,400
CQ079,list,timestamp,400
