menutype,shownupnot
Promotion Dashboard,not shown up
Manager Dashboard,not shown up
CMS page,not shown up
Message page,not shown up
Claim Form - Preloaded Sales,not shown up
Claim Form - Preloaded Behaviours,not shown up
Claim Resolution - Preloaded Sales,not shown up
Claim Resolution - Preloaded Behaviours,not shown up
Claim Form - Sales Invoice Submission,not shown up
Claim Form - Behaviour Evidence Submission,not shown up
Claim History - Sales Invoice Submission,not shown up
Claim History - Behaviour Evidence Submission,not shown up
Claim Approval - Sales Invoice Submission,not shown up
Claim Approval - Behaviour Evidence Submission,not shown up
Coupon Claim,shown up
Coupon Claim history,shown up
Embedded Report,not shown up
Experience Marketplace,shown up
Merchandise Marketplace,shown up
Mastery Marketplace,shown up
External link,shown up
Game,shown up
Goal Quest - Participant,not shown up
Goal Quest - Manager,not shown up
Quiz & Questionnaire,not shown up
Quiz Admin,shown up
Hub page,shown up
Membership Tier,shown up
Point statement,shown up
Registration approval,not shown up
Contact Us,shown up
