testid,field,value,responsecode,responsestatus
TU121,username,invalid,400,error
TU122,username,empty,400,error
TU123,username,null,400,error
TU124,title,invalid,400,error
TU125,title,empty,400,error
TU126,title,null,400,error
TU127,programId,invalid,400,error
TU128,programId,empty,400,error
TU129,programId,null,400,error
TU130,country,invalid,400,error
TU131,country,empty,400,error
TU132,country,null,400,error
TU133,email,invalid,400,error
TU134,email,empty,400,error
TU135,email,null,400,error
TU136,password,invalid,400,error
TU137,password,empty,400,error
TU138,password,null,400,error
TU139,gender,invalid,400,error
TU140,gender,empty,400,error
TU141,gender,null,400,error
TU142,mobileNumber,invalid,400,error
TU143,mobileNumber,empty,400,error
TU144,mobileNumber,null,400,error
TU145,timeZone,invalid,400,error
TU146,timeZone,empty,400,error
TU147,timeZone,null,400,error
TU148,language,invalid,400,error
TU149,language,empty,400,error
TU150,language,null,400,error
TU151,isSSO,invalid,400,error
TU152,isSSO,empty,400,error
TU153,isSSO,null,400,error
TU154,status,invalid,400,error
TU155,status,empty,400,error
TU156,status,null,400,error
TU157,picture,invalid,400,error
TU158,picture,empty,400,error
TU159,picture,null,400,error
