testid,field,type,responsecode,responsestatus
A074,name,invalid,400,error
A075,name,empty,400,error
A076,name,null,400,error
A077,description,invalid,400,error
A078,description,empty,400,error
A079,description,null,400,error
A080,line1,invalid,400,error
A081,line1,empty,400,error
A082,line1,null,400,error
A083,line2,invalid,400,error
A084,line2,empty,400,error
A085,line2,null,400,error
A086,line3,invalid,400,error
A087,line3,empty,400,error
A088,line3,null,400,error
A089,line4,invalid,400,error
A090,line4,empty,400,error
A091,line4,null,400,error
A092,line5,invalid,400,error
A093,line5,empty,400,error
A094,line5,null,400,error
A095,line6,invalid,400,error
A096,line6,empty,400,error
A097,line6,null,400,error
A098,city,invalid,400,error
A099,city,empty,400,error
A100,city,null,400,error
A101,country,invalid,400,error
A102,country,empty,400,error
A103,country,null,400,error
A104,countryISOCode,invalid,400,error
A105,countryISOCode,empty,400,error
A106,countryISOCode,null,400,error
A107,postalCode,invalid,400,error
A108,postalCode,empty,400,error
A109,postalCode,null,400,error
A110,province,invalid,400,error
A111,province,empty,400,error
A112,province,null,400,error
A113,state,invalid,400,error
A114,state,empty,400,error
A115,state,null,400,error
