testid,attributeType,valuetype,responsecode
CQ011,string,boolean,400
CQ012,string,numeric,400
CQ013,string,date,400
CQ014,string,timestamp,400
CQ015,string,list,400
CQ016,boolean,string,400
CQ017,boolean,numeric,400
CQ018,boolean,date,400
CQ019,boolean,timestamp,400
CQ020,boolean,list,400
CQ021,numeric,string,400
CQ022,numeric,boolean,400
CQ023,numeric,date,400
CQ024,numeric,timestamp,400
CQ025,numeric,list,400
CQ026,date,string,400
CQ027,date,boolean,400
CQ028,date,numeric,400
CQ029,date,timestamp,400
CQ030,date,list,400
CQ031,timestamp,string,400
CQ032,timestamp,boolean,400
CQ033,timestamp,numeric,400
CQ034,timestamp,date,400
CQ035,timestamp,list,400
CQ036,list,string,400
CQ037,list,boolean,400
CQ038,list,numeric,400
CQ039,list,date,400
CQ040,list,timestamp,400
