testid,parameter,valuetype,passwordValuetype,responsecode,responsestatus
I105,username,invalidName,encrypted,400,error
I106,email,invalidMailId,encrypted,400,error
I107,mobile,invalidNumber,encrypted,400,error
I108,username,validName,non-encrypted,400,error
I109,email,validMailId,non-encrypted,400,error
I110,mobile,validNumber,non-encrypted,400,error
I111,username,validName,invalid,400,error
I112,email,validMailId,invalid,400,error
I113,mobile,validNumber,invalid,400,error
I114,username,validName,empty,400,error
I115,email,validMailId,empty,400,error
I116,mobile,validNumber,empty,400,error
I117,username,validName,null,400,error
I118,email,validMailId,null,400,error
I119,mobile,validNumber,null,400,error
I120,username,empty,encrypted,400,error
I121,email,empty,encrypted,400,error
I122,mobile,empty,encrypted,400,error
I123,username,null,encrypted,400,error
I124,email,null,encrypted,400,error
I125,mobile,null,encrypted,400,error
I126,username,validName,invalid-encrypted,400,error
I127,email,validMailId,invalid-encrypted,400,error
I128,mobile,validNumber,invalid-encrypted,400,error
