testid,field,type,responsecode,responsestatus
TU069,username,invalid,400,error
TU070,username,empty,400,error
TU071,username,null,400,error
TU072,title,invalid,400,error
TU073,title,empty,400,error
TU074,title,null,400,error
TU075,programId,invalid,400,error
TU076,programId,empty,400,error
TU077,programId,null,400,error
TU078,country,invalid,400,error
TU079,country,empty,400,error
TU080,country,null,400,error
TU081,email,invalid,400,error
TU082,email,empty,400,error
TU083,email,null,400,error
TU084,password,invalid,400,error
TU085,password,empty,400,error
TU086,password,null,400,error
TU087,gender,invalid,400,error
TU088,gender,empty,400,error
TU089,gender,null,400,error
TU090,mobileNumber,invalid,400,error
TU091,mobileNumber,empty,400,error
TU092,mobileNumber,null,400,error
TU093,timeZone,invalid,400,error
TU094,timeZone,empty,400,error
TU095,timeZone,null,400,error
TU096,language,invalid,400,error
TU097,language,empty,400,error
TU098,language,null,400,error
TU099,isSSO,invalid,400,error
TU100,isSSO,empty,400,error
TU101,isSSO,null,400,error
TU102,status,invalid,400,error
TU103,status,empty,400,error
TU104,status,null,400,error
TU105,picture,invalid,400,error
TU106,picture,empty,400,error
TU107,picture,null,400,error
