testid,type,field,responsecode,responsestatus
TU015,invalid,username,400,error
TU016,empty,username,400,error
TU017,null,username,400,error
TU018,invalid,title,400,error
TU019,empty,title,400,error
TU020,null,title,400,error
TU021,invalid,programId,400,error
TU022,empty,programId,400,error
TU023,null,programId,400,error
TU024,invalid,country,400,error
TU025,empty,country,400,error
TU026,null,country,400,error
TU027,invalid,email,400,error
TU028,empty,email,400,error
TU029,null,email,400,error
TU030,invalid,password,400,error
TU031,empty,password,400,error
TU032,null,password,400,error
TU033,invalid,gender,400,error
TU034,empty,gender,400,error
TU035,null,gender,400,error
TU036,invalid,mobileNumber,400,error
TU037,empty,mobileNumber,400,error
TU038,null,mobileNumber,400,error
TU039,invalid,timeZone,400,error
TU040,empty,timeZone,400,error
TU041,null,timeZone,400,error
TU042,invalid,language,400,error
TU043,empty,language,400,error
TU044,null,language,400,error
TU045,invalid,isSSO,400,error
TU046,empty,isSSO,400,error
TU047,null,isSSO,400,error
TU048,invalid,status,400,error
TU049,empty,status,400,error
TU050,null,status,400,error
TU051,invalid,picture,400,error
TU052,empty,picture,400,error
TU053,null,picture,400,error
