testid,type,field,responsecode,responsestatus
ORG009,invalid,name,400,error
ORG010,empty,name,400,error
ORG011,null,name,400,error
ORG012,invalid,description,400,error
ORG013,empty,description,400,error
ORG014,null,description,400,error
ORG015,invalid,code,400,error
ORG016,empty,code,400,error
ORG017,null,code,400,error
ORG018,invalid,phone,400,error
ORG019,empty,phone,400,error
ORG020,null,phone,400,error
ORG021,invalid,email,400,error
ORG022,empty,email,400,error
ORG023,null,email,400,error
ORG024,invalid,active,400,error
ORG025,empty,active,400,error
ORG026,null,active,400,error
