invoiceNumber,quantity,value,salesDate,buyingOrganisation,productId,salesType,origin,sellingOrganisation,userName,recordType
PsYJp,100,1000,2026-02-03,BCOrganization1_Feb02,Car,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY01,Add
wRkpa,200,2000,2026-02-03,BCOrganization1_Feb02,Bus,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY02,Add
EwjKw,300,3000,2026-02-03,BCOrganization1_Feb02,Bike,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY03,Add
NoQln,400,4000,2026-02-03,BCOrganization1_Feb02,Cycle,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY04,Add
FcUGk,500,5000,2026-02-03,BCOrganization1_Feb02,Van,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY11,Add
rtPij,600,6000,2026-02-03,BCOrganization1_Feb02,Train,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY12,Add
BAUzt,700,7000,2026-02-03,BCOrganization1_Feb02,Scooter,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY13,Add
LlaRR,800,8000,2026-02-03,BCOrganization1_Feb02,Aeroplane,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY21,Add
RQgJj,900,9000,2026-02-03,BCOrganization1_Feb02,Ship,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY31,Add
SFLAN,1000,10000,2026-02-03,BCOrganization1_Feb02,Helicopter,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY41,Add
zigJY,1100,11000,2026-02-03,BCOrganization1_Feb02,Car,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY46,Add
ZLONA,1200,12000,2026-02-03,BCOrganization1_Feb02,Bus,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY47,Add
YXtbT,1300,13000,2026-02-03,BCOrganization1_Feb02,Bike,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY49,Add
KfzHk,1400,14000,2026-02-03,BCOrganization1_Feb02,Cycle,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY51,Add
YAmCP,1500,15000,2026-02-03,BCOrganization1_Feb02,Van,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY53,Add
QOEdo,1600,16000,2026-02-03,BCOrganization1_Feb02,Train,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY57,Add
FTAfm,1700,17000,2026-02-03,BCOrganization1_Feb02,Scooter,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY62,Add
Rlyfn,1800,18000,2026-02-03,BCOrganization1_Feb02,Aeroplane,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY68,Add
tzDwO,1900,19000,2026-02-03,BCOrganization1_Feb02,Ship,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY74,Add
IAFRJ,2000,20000,2026-02-03,BCOrganization1_Feb02,Helicopter,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY75,Add
aBGBp,2100,21000,2026-02-03,BCOrganization1_Feb02,Car,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY76,Add
kNekC,2200,22000,2026-02-03,BCOrganization1_Feb02,Bus,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY77,Add
vrVtq,2300,23000,2026-02-03,BCOrganization1_Feb02,Bike,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY78,Add
PcJWh,2400,24000,2026-02-03,BCOrganization1_Feb02,Cycle,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY79,Add
uENem,2500,25000,2026-02-03,BCOrganization1_Feb02,Van,Org,nonEvidenceBasedClaim,Zenith,Jan19SXGY80,Add
